V Mag,Proper name,Bayer designation,Distance,Spectral class,Mass,Radius,Luminosity
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Altair',b'\xce\xb1 Aql\n',"17
","A7
","1.8
","1.8
","10.5
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.76
",b'Acrux',b'\xce\xb1 Cru',"320
","B0.5
","18
","8.9
","25,000
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
"0.86
",b'Aldebaran',b'\xce\xb1 Tau\n',"65
","K5
","1.5
","44
","520
"
